         387429 function calls (368993 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      725    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.001    0.001    0.001    0.001 langturkishmodel.py:1(<module>)
        1    0.001    0.001    0.003    0.003 langbulgarianmodel.py:1(<module>)
       63    0.001    0.000    0.003    0.000 typing.py:1223(__init__)
      963    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      244    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(__enter__)
  588/530    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       24    0.001    0.000    0.005    0.000 enum.py:249(__set_name__)
      193    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      772    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       59    0.001    0.000    0.003    0.000 typing.py:868(__init__)
      198    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
      285    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
       42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      494    0.000    0.000    0.001    0.000 enum.py:1116(__new__)
      401    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      599    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      289    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      242    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      432    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      239    0.000    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1517(find_spec)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
     1647    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       21    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1641(_fill_cache)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
      434    0.000    0.000    0.001    0.000 typing.py:1117(_is_dunder)
        6    0.000    0.000    0.005    0.001 typing.py:2758(__new__)
      413    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
      571    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      136    0.000    0.000    0.004    0.000 css_types.py:203(__init__)
       84    0.000    0.000    0.001    0.000 css_parser.py:792(parse_combinator)
      132    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      187    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
