         483838 function calls (463372 primitive calls) in 1.640 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {method 'replace' of 'code' objects}
      370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
       15    0.001    0.000    0.006    0.000 typing.py:2758(__new__)
      424    0.001    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:1517(find_spec)
      566    0.001    0.000    0.002    0.000 enum.py:713(__call__)
      114    0.001    0.000    0.002    0.000 dataclasses.py:760(_get_field)
      227    0.001    0.000    0.081    0.000 _compiler.py:573(_code)
       14    0.001    0.000    0.001    0.000 _make.py:795(_create_slots_class)
     1173    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
  136/131    0.001    0.000    0.009    0.000 css_parser.py:383(freeze)
      227    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      427    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      369    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      425    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      749    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
       46    0.001    0.000    0.002    0.000 typing.py:1079(_generic_init_subclass)
      834    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
        1    0.001    0.001    0.001    0.001 langgreekmodel.py:1(<module>)
     1127    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1046    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      663    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      430    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1869    0.001    0.000    0.001    0.000 typing.py:1227(<genexpr>)
      769    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.001    0.001    0.001    0.001 langrussianmodel.py:1(<module>)
      369    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      711    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      294    0.001    0.000    0.002    0.000 typing.py:317(_deduplicate)
        1    0.001    0.001    0.001    0.001 _emoji_codes.py:1(<module>)
       29    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      428    0.001    0.000    0.001    0.000 _parser.py:265(getwhile)
  252/203    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      143    0.001    0.000    0.014    0.000 typing.py:726(Optional)
       35    0.001    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
      126    0.001    0.000    0.001    0.000 dataclasses.py:701(_is_type)
      273    0.001    0.000    0.001    0.000 css_parser.py:332(match)
      586    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
   174/68    0.001    0.000    0.589    0.009 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      514    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
       84    0.001    0.000    0.006    0.000 css_parser.py:792(parse_combinator)
      586    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      566    0.001    0.000    0.001    0.000 enum.py:1116(__new__)
      894    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.001    0.001    0.001    0.001 langthaimodel.py:1(<module>)
      223    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:67(TrioBackend)
     1038    0.001    0.000    0.001    0.000 typing.py:1546(__eq__)
      245    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
     1348    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
     1173    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
